New Settlement Community Center,1501 Jerome Ave,Kickboxing ,Monday,9:00 a.m.,90min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Poe Park Visitor Center,2640 Grand Concourse,Latin Dance Fitness ,Saturday,9:00 a.m.,60min,10458,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Jacobi Medical Center,1400 Pelham Parkway South,Line Dance ,Monday,7:00 p.m.,60min,10461,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Fort Independence Community Center,3350 Bailey Ave,"Move, Tone, and Balance ",Friday,11:00 a.m.,60min,10463,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bronx Neighborhood Health Action Center,1826 ARTHUR AVENUE,Power of Self: Karate + Yoga ,Wednesday,6:00 p.m.,60min,10457,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Mitchell Senior Center,188-190 Lincoln Ave,Senior Dance Fitness ,Wednesday,10:30 a.m.,60min,10454,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Eastchester Community Center,3016 Yates Ave,Step Aerobics ,Saturday,10:00 a.m.,60min,10469,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
P&J Beacon,650 Hollywood Avenue,Total Body Toning (Bilingual) ,Wednesday,5:00 p.m.,60min,10465,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
New Settlement Community Center,1501 Jerome Ave,Women's Self Defense ,Monday,10:00 a.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
P.S. 62 Inocensio Casanova,660 Fox Street,Working Out With CBEAR ,Tuesday,4:30 p.m.,60min,10455,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Soundview Community Center,1680 Seward Avenue,Yoga ,Tuesday,6:30 p.m.,60min,10473,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bronx River Community Center,1619 East 174th Street,Zumba ,Monday,6:00 p.m.,60min,10472,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bronx River Community Center,1619 East 174th Street,Zumba ,Wednesday,6:00 p.m.,60min,10472,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Co-Op City Administrative Office Community Center,2049 Bartow Avenue,Zumba ,Monday,7:00 p.m.,60min,10475,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Poe Park Visitor Center,2640 Grand Concourse,Zumba ,Saturday,10:15 a.m.,60min,10458,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. James Recreation Center,2530 Jerome Avenue,Zumba ,Wednesday,9:00 a.m.,60min,10468,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. Jerome H.A.N.D.S. Community Center,330 East 138th Street,Zumba ,Saturday,5:00 p.m.,60min,10454,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Williamsbridge Oval Recreation Center,3225 Reservoir Oval East,Zumba ,Sunday,1:30 p.m.,60min,10467,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Highbridge Senior Center,"1181 Nelson Ave, 2nd Floor",Zumba Life ,Friday,11:00 a.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
RAIN Bailey Senior Center,2660 Bailey Avenue,Zumba for Seniors ,Thursday,11:00 a.m.,60min,10463,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Fort Hamilton Senior Recreation Center,9941 Fort Hamilton Parkway,*Low Impact Fitness ,Saturday,9:15 a.m.,45min,11209,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Fort Hamilton Senior Recreation Center,9941 Fort Hamilton Parkway,*Zumba ,Saturday,10:00 a.m.,60min,11209,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Betsy Head Field House,Livonia Ave between Hopkinson & Amboy streets,Aerobics ,Monday,9:00 a.m.,120min,11212,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
